,Value(uM),Subject Age,Subject Sex,Subject Information
2611,0.0150 +/- 0.0041,Adult (>18 years old),Not Specified,Normal
2612,0.005 +/- 0.002,Adult (>18 years old),Both,Normal
2613,0.0038 +/- 0.0022,Adult (>18 years old),Both,Normal
2614,,Adult (>18 years old),Both,Normal
2615,0.04 +/- 0.01,Adult (>18 years old),Both,Normal
2616,0.080 +/- 0.004,Adult (>18 years old),Both,Normal
2617,0.020-0.070,Adult (>18 years old),Both,Normal
2618,0.04 +/- 0.01,Adult (>18 years old),Both,Normal
2619,0.020-0.070,Adult (>18 years old),Both,Normal
2620,22.8 +/- 6.7,Adult (>18 years old),Both,Normal
2621,5.53 +/-  0.021,Adult (>18 years old),Both,Normal
2622,0.902 +/- 0.089,Adult (>18 years old),Both,Normal
2623,8.222 +/- 4.340,Adult (>18 years old),Female,Normal
2624,0.21 (0.11-0.31),Infant (0-1 year old),Not Specified,Normal
2625,83.3 +/- 132.8,Adult (>18 years old),Both,Normal
2626,0.00067 (0.00031-0.00220),Adult (>18 years old),Both,Normal
2627,0.0-0.30,Adult (>18 years old),Both,Normal
2628,0.11(0.078-0.19),Infant (0-1 year old),Not Specified,Normal
2629,,,,Normal
2630,,,,Normal
2631,2.0 (0.1-4.0),Adult (>18 years old),Both,Normal
2632,,Adult (>18 years old),Both,Normal
2633,,Adult (>18 years old),Both,Normal
2634,,Adult (>18 years old),Both,Normal
2635,,,,Normal
2636,0.0060 +/- 0.0042,Adult (>18 years old),Both,Normal
2637,0.0681 +/- 0.01880,Adult (>18 years old),Both,Normal
2638,0.049-0.078,Adult (>18 years old),Both,Normal
2639,0.009326 (0.003782-0.014870),Adult (>18 years old),Not Specified,Normal
2640,0.0052 +/- 0.0010,Adult (>18 years old),Both,Normal
2641,0.022 +/- 0.001,Adult (>18 years old),Not Specified,Normal
2642,0,Children (1 - 13 years old),Both,Normal
2643,212.3 +/- 61.3,Adult (>18 years old),Both,Normal
2644,266.3 +/- 61,Adult (>18 years old),Both,Normal
2645,75-265,Newborn (0-30 days old),Both,Normal
2646,71-280,Infant (1 - 3 months old),Both,Normal
2647,65-325,Children (3 months - 6 years old),Both,Normal
2648,115-385,Children (6 - 18 years old),Both,Normal
2649,74-321,Children (1 - 18 years old),Not Specified,Normal
2650,233.0 (190.0-276.0),Adult (>18 years old),Both,Normal
2651,238 (206-272),Newborn (0-30 days old),,Normal
2652,130.0 +/- 50.0,Newborn (0-30 days old),Not Specified,Normal
2653,232.0 +/- 28.0,Children (1-13 years old),Male,Normal
2654,252.0 +/- 37.0,Adult (>18 years old),Male,Normal
2655,209.0 +/- 31.0,Adult (>18 years old),Female,Normal
2656,142-278,Adolescent (13-18 years old),Not Specified,Normal
2657,158-310,Infant (0-1 year old),Not Specified,Normal
2658,119-336,Adult (>18 years old),Not Specified,Normal
2659,133-273,Children (1-13 years old),Not Specified,Normal
2660,257 +/- 39,Adult (>18 years old),Male,Normal
2661,210 +/- 19,Adult (>18 years old),Female,Normal
2662,248 (206-304),Infant (0-1 year old),,Normal
2663,260.7 +/- 39.7,Children (1 - 13 years old),Not Specified,Normal
2664,209 +/- 31,Adult (>18 years old),Female,Normal
2665,243.6 +/- 45.2,Adult (>18 years old),Both,Normal
2666,252 +/- 37,Adult (>18 years old),Male,Normal
2667,130.9(114.6-157.3),Children (1-13 uears old),Both,Normal
2668,181 +/- 20,Children (1 - 13 years old),Not Specified,Normal
2669,140.0-300.0,Adult (>18 years old),Both,Normal
2670,0.200 +/- 0.098,Adult (>18 years old),Not Specified,Normal
2671,405.46 +/- 56.51,Adult (>18 years old),Both,Normal
2672,208 +/- 7.8,Adult (>18 years old),Both,Normal
2673,190 +/- 6,Adult (>18 years old),Both,Normal
2674,200 +/- 4.5,Adult (>18 years old),Both,Normal
2675,0.44(0.28-0.54),Infant (0-1 year old),Not Specified,Normal
2676,0.6 (0.3-1.2),Adult (>18 years old),Both,Normal
2677,3.6 (0.0-10.0),Adult (>18 years old),Both,Normal
2678,0.14 (0.11-0.15),Infant (0-1 year old),Not Specified,Normal
2679,0.062 (0.000-0.177),Adult (>18 years old),Not Specified,Normal
2680,0.129 +/- 0.024,Adult (>18 years old),Both,Normal
2681,0.00034 (0.00021-0.00047),Adult (>18 years old),Both,Normal
2682,0.00036 (0.00020-0.00070),Adult (>18 years old),Male,Normal
2683,0.003 (0.000-0.007),Adult (>18 years old),Male,Normal
2684,0.0025 (0.0008-0.0042),Adult (>18 years old),Male,Normal
2685,,,,Normal
2686,24.3 (23.0-25.6),Adult (>18 years old),Both,Normal
2687,10-60,Infant (0-1 year old),Not Specified,Normal
2688,6-40,Newborn (0-30 days old),Both,Normal
2689,6-60,Infant (1 - 3 months old),Both,Normal
2690,8-70,Children (3 months - 6 years old),Both,Normal
2691,10-70,Children (6 - 18 years old),Both,Normal
2692,19-51,Infant (0-1 year old),Male,Normal
2693,38.0 (30.0-46.0),Adult (>18 years old),Both,Normal
2694,19-33,Infant (0-1 year old),Not Specified,Normal
2695,<43,Adult (>18 years old),Both,Normal
2696,8-47,Newborn (0-30 days old),Not Specified,Normal
2697,10-45,Infant (0-1 year old),Not Specified,Normal
2698,10-50,Children (1 - 13 years old),Both,Normal
2699,16 +/- 5,Infant (0-1 year old),Both,Normal
2700,29.8 +/- 7.91,Adult (>18 years old),Both,Normal
2701,35 +/- 10,Adult (>18 years old),Female,Normal
2702,31 +/- 8,Children (1 - 13 years old),Female,Normal
2703,20.4(16.7-26.3),Children (1-13 uears old),Both,Normal
2704,36.0 +/- 8.0,Children (1-13 years old),Male,Normal
2705,37.0 +/- 9.0,Adult (>18 years old),Male,Normal
2706,35.0 +/- 10.0,Adult (>18 years old),Female,Normal
2707,37 +/- 9,Adult (>18 years old),Male,Normal
2708,38.0 (30.0-46.0),Adult (>18 years old),Not Specified,Normal
2709,15.0-45.0,Adult (>18 years old),Both,Normal
2710,26,Children (1-13 years old),Not Specified,Normal
2711,5-37,Newborn (0-30 days old),Not Specified,Normal
2712,10-60,Children (1-13 years old),Not Specified,Normal
2713,0.42 +/- 0.12,Adult (>18 years old),Both,Normal
2714,26.55(7.07),Adult (>18 years old),Both,Normal
2715,1.6 +/- 0.1,Adult (>18 years old),Both,Normal
2716,9.26 +/- 5.40,Adult (>18 years old),Both,Normal
2717,2.573-12.864,Not Specified,Not Specified,Normal
2718,,,,Normal
2719,,,,Normal
2720,,,,Normal
2721,704.47 +/- 129.59,Adult (>18 years old),Both,Normal
2722,533 +/- 13,Adult (>18 years old),Both,Normal
2723,0.079 +/- 0.022,Adult (>18 years old),Both,Normal
2724,,Children (1-13 years old),Male,Normal
2725,38.81 +/- 20.37,Adult (>18 years old),Both,Normal
2726,,Adult (>18 years old),Both,Normal
2727,37.8 +/- 20.4,Adult (>18 years old),Both,Normal
2728,,Adult (>18 years old),Both,Normal
2729,54.5 +/- 9.7,Adult (>18 years old),Both,Normal
2730,78.4 +/- 15.5,Adult (>18 years old),Both,Normal
2731,18-55,Newborn (0-30 days old),Both,Normal
2732,25-80,Infant (1 - 3 months old),Both,Normal
2733,21-80,Children (3 months - 6 years old),Both,Normal
2734,25-70,Children (6 - 18 years old),Both,Normal
2735,44.0 (37.0-51.0),Adult (>18 years old),Both,Normal
2736,81.3 +/- 3.36,Adult (>18 years old),Both,Normal
2737,87.4 (75.6-98.6),Newborn (0-30 days old),,Normal
2738,48.7 +/- 11.6,Adult (>18 years old),Female,Normal
2739,101.5 +/- 27.2,Newborn (0-30 days old),Both,Normal
2740,45.0 +/- 9.0,Adult (>18 years old),Male,Normal
2741,73.9 (63-87),Infant (0-1 year old),,Normal
2742,,Adult (>18 years old),Both,Normal
2743,69.71 +/- 0.99,Adult (>18 years old),Both,Normal
2744,63.0 +/- 10.7,Adult (>18 years old),Both,Normal
2745,36.5(20.6-51.8),Children (1-13 uears old),Both,Normal
2746,40.0-95.0,Adult (>18 years old),Both,Normal
2747,,,,Normal
2748,0.0006 (0.0000-0.0012),Newborn (0-30 days old),Both,Normal
2749,0.012 (0.000-0.024),Adult (>18 years old),Both,Normal
2750,11.15 (0.24-55.00),Children (1-13 years old),Both,Normal
2751,5.573 +/- 0.727,Adult (>18 years old),Not Specified,Normal
2752,0.46 +/- 0.02,Elderly (>65 years old),Both,Normal
2753,0.00900-0.0450,Not Specified,Not Specified,Normal
2754,,Adult (>18 years old),Both,Normal
2755,,Adult (>18 years old),Both,Normal
2756,0.160 +/- 0.007,Adult (>18 years old),Both,Normal
2757,1.012 +/- 0.262,Adult (>18 years old),Both,Normal
2758,31.681 +/- 20.935,Adult (>18 years old),Female,Normal
2759,0.16 +/- 0.03,Adult (>18 years old),Both,Normal
2760,0.281 +/- 0.033,Adult (>18 years old),Both,Normal
2761,0.30 +/- 0.08,Adult (>18 years old),Both,Normal
2762,0.3(0.1-0.3),Infant (0-1 year old),Both,Normal
2763,,,,Normal
2764,0.053 +/- 0.017,Adult (>18 years old),Male,Normal
2765,0.031 +/- 0.011,Adult (>18 years old),Male,Normal
2766,0.052 +/- 0.02,Adult (>18 years old),Male,Normal
2767,0.13 +/- 0.054,Adult (>18 years old),Male,Normal
2768,0.027 +/- 0.005,Adult (>18 years old),Male,Normal
2769,0.031 +/- 0.008,Adult (>18 years old),Male,Normal
2770,0.029 +/- 0.004,Adult (>18 years old),Male,Normal
2771,0.157 +/- 0.129,Adult (>18 years old),Male,Normal
2772,0.039 +/- 0.020,Adult (>18 years old),Both,Normal
2773,0-1.581,Adult (>18 years old),Both,Normal
2774,0.128 +/- 0.018,Adult (>18 years old),Male,Normal
2775,0.126 +/- 0.028,Adult (>18 years old),Male,Normal
2776,0.169 +/- 0.03,Adult (>18 years old),Male,Normal
2777,0.187 +/- 0.048,Adult (>18 years old),Male,Normal
2778,0.105 +/- 0.021,Adult (>18 years old),Male,Normal
2779,0.083 +/- 0.01,Adult (>18 years old),Male,Normal
2780,0.118 +/- 0.016,Adult (>18 years old),Male,Normal
2781,1.549 +/- 1.451,Adult (>18 years old),Male,Normal
2782,,,,Consuming polyphenols described by Phenol-Explorer entry 485
2783,,,,Consuming polyphenols described by Phenol-Explorer entry 485
2784,0.665 +/- 0.093,Adult (>18 years old),Male,Normal
2785,3.027 +/- 2.529,Adult (>18 years old),Male,Normal
2786,3.269 +/- 2.507,Adult (>18 years old),Male,Normal
2787,1.673 +/- 1.103,Adult (>18 years old),Male,Normal
2788,0.677 +/- 0.177,Adult (>18 years old),Male,Normal
2789,0.666 +/- 0.17,Adult (>18 years old),Male,Normal
2790,0.612 +/- 0.101,Adult (>18 years old),Male,Normal
2791,0.714 +/- 0.201,Adult (>18 years old),Male,Normal
2792,,,,Normal
2793,,,,Normal
2794,0.0086 (0.0000-0.0170),Adult (>18 years old),Not Specified,Normal
2795,,,,Normal
2796,,,,Normal
2797,,,,Normal
2798,1.0 +/- 0.2,Adult (>18 years old),Both,Normal
2799,,,,Normal
2800,1.38 +/- 0.28,Adult (>18 years old),Both,Normal
2801,29.0 +/- 19.0,Adult (>18 years old),Both,Normal
2802,0.5 +/- 0.1,Adult (>18 years old),Both,Normal
2803,,,,Normal
2804,,,,Normal
2805,,,,Normal
2806,3.47 +/- 1.20,Adult (>18 years old),Female,Normal
2807,28.9-40.7,Newborn (0-30 days old),Both,Normal
2808,0.81-16.28,Infant (2 - <6 months old),Both,Normal
2809,0.27-4.89,Infant (6 months - <1 year old),Both,Normal
2810,0-3.26,Children (1 - <6 years old),Both,Normal
2811,0.27-4.34,Children (6 - <9 years old),Both,Normal
2812,0.81-7.60,Children (9 - <13 years old),Both,Normal
2813,1.63-13.03,Adolescent (13 - <16 years old),Both,Normal
2814,4.07-16.01,Adolescent (16 - <19 years old),Female,Normal
2815,3.53-16.01,Adolescent (16 - <19 years old),Male,Normal
2816,,Adult (>18 years old),Female,Normal
2817,<0.500,Not Specified,Both,Normal
2818,0.950-11.669,Adult (>18 years old),Female,Normal
2819,4.5 (1.4-8.2),Adult (>18 years old),Female,Normal
2820,0.950 - 1.167,Adult (>18 years old),Both,Normal
2821,0.0000086-0.000045,Adolescent (13-18 years old),Not Specified,Normal
2822,,,,Normal
2823,2.94 +/- 0.058,Adult (>18 years old),Both,Normal
2824,14 +/- 12,Adult (>18 years old),Both,Normal
2825,31.6 +/- 21.7,Adult (>18 years old),Both,Normal
2826,55.4 +/- 4.48,Adult (>18 years old),Both,Normal
2827,,Adult (>18 years old),Female,Normal
2828,31.5 +/- 25.8,Adult (>18 years old),Male,Normal
2829,31.7 +/- 30.4,Adult (>18 years old),Female,Normal
2830,5.263 +/- 2.072,Adult (>18 years old),Both,Normal
2831,594.5 +/- 144.9,Adult (>18 years old),Not Specified,Normal
2832,,Adult (>18 years old),Both,Normal
2833,348.150 +/- 52.551,Adult (>18 years old),Male,Normal
2834,344.865 +/- 55.835,Adult (>18 years old),Male,Normal
2835,312.0208 +/- 62.404,Adult (>18 years old),Male,Normal
2836,348.150 +/- 49.266,Adult (>18 years old),Male,Normal
2837,12,Adult (>18 years old),Both,Normal
2838,15,Adult (>18 years old),Both,Normal
2839,16,Adult (>18 years old),Both,Normal
2840,17,Adult (>18 years old),Both,Normal
2841,19,Adult (>18 years old),Both,Normal
2842,20,Adult (>18 years old),Both,Normal
2843,66,Adult (>18 years old),Both,Normal
2844,82,Adult (>18 years old),Both,Normal
2845,86,Adult (>18 years old),Both,Normal
2846,132,Adult (>18 years old),Both,Normal
2847,134,Adult (>18 years old),Both,Normal
2848,158,Adult (>18 years old),Both,Normal
2849,475.750 +/- 136.599,Adult (>18 years old),Both,Normal
2850,349.398 +/- 84.476,Adult (>18 years old),Female,Normal
2851,8.50 +/- 1.58,Adult (>18 years old),Female,Normal
2852,660 +/- 130,Adult (>18 years old),Female,Normal
2853,590 +/- 120,Adult (>18 years old),Male,Normal
2854,0.00030 (0.00018-0.00056),Adult (>18 years old),Both,Normal
2855,0.000284 (0.000267-0.000426),Children (1-13 years old),Not Specified,Normal
2856,0.000261 (0.000238-0.000289),Adult (>18 years old),Not Specified,Normal
2857,0.00908 (0.00675-0.0135),Adult (>18 years old),Not Specified,Normal
2858,1.4 +/- 0.9,Adult (>18 years old),Both,Normal
2859,3.05 +/- 0.11,Adult (>18 years old),Both,Normal
2860,25.0 +/- 8.0,Adult (>18 years old),Both,Normal
2861,1.9 +/- 0.5,Adult (>18 years old),Male,Normal
2862,1476.0 +/- 655.0,Adult (>18 years old),Both,Normal
2863,0.005 +/- 0.001,Adult (>18 years old),Both,Normal
2864,3.8 +/- 0.7,Newborn (0-30 days old),Both,Normal
2865,1.2 +/- 0.4,Adult (>18 years old),Both,Normal
2866,0.400 +/- 0.120,Adolescent (13-18 years old),Both,Normal
2867,0.00033 +/- 0.00023,Adult (>18 years old),Both,Normal
2868,0.0052 +/- 0.0016,Adult (>18 years old),Both,Normal
2869,4.89 +/- 0.12,Adult (>18 years old),Both,Normal
2870,1.15 +/- 0.66,Children (1-13 years old),Both,Normal
2871,0.89 +/- 0.41,Adult (>18 years old),Both,Normal
2872,1.17 +/- 0.12,Adult (>18 years old),Male,Normal
2873,0.65 +/- 0.18,Adult (>18 years old),Female,Normal
2874,0.85 (0.46-1.33),Adult (>18 years old),Both,Normal
2875,0.040 +/- 0.014,Adult (>18 years old),Male,Normal
2876,0.056 +/- 0.023,Adult (>18 years old),Male,Normal
2877,4.31 +/- 0.42,Adult (>18 years old),Both,Normal
2878,0.000037 +/- 0.000007,Adult (>18 years old),Both,Normal
2879,0.0309 +/- 0.00178,Infant (0-1 year old),Not Specified,Normal
2880,0.000296 +/- 0.000292,Adult (>18 years old),Both,Normal
2881,0.00009686 +/- 0.0000062,Adult (>18 years old),Both,Normal
2882,<0.0001,Adult (>18 years old),Both,Normal
2883,,,,Normal
2884,4.8 +/- 1.6,Adult (>18 years old),Both,Normal
2885,0.001 +/- 0.000046,Adult (>18 years old),Both,Normal
2886,0.03 +/- 0.01,Adult (>18 years old),Both,Normal
2887,,,,Normal
2888,0.000053 +/- 0.000012,Adult (>18 years old),Both,Normal
2889,0.000371 +/- 0.000144,Adult (>18 years old),Both,Normal
2890,0.00033 +/- 0.000018,Adult (>18 years old),Both,Normal
2891,0.000248 +/- 0.00013,Adult (>18 years old),Both,Normal
2892,0.35 +/- 0.09,Newborn (0-30 days old),Both,Normal
2893,0.033 +/- 0.004,Adult (>18 years old),Both,Normal
2894,10.0 (0.5-20.0),Adult (>18 years old),Both,Normal
2895,0.14 (0.01-0.30),Adult (>18 years old),Both,Normal
2896,110.0 +/- 77.0,Adult (>18 years old),Male,Normal
2897,0.653 +/- 0.167,Adult (>18 years old),Both,Normal
2898,0.59 (0.44-0.74),Adult (>18 years old),Both,Normal
2899,10.00 (0.03-20.00),Adult (>18 years old),Both,Normal
2900,9.9 +/- 7.0,Adult (>18 years old),Both,Normal
2901,5.38 +/- 0.038,Adult (>18 years old),Both,Normal
2902,2.43 +/- 0.048,Adult (>18 years old),Both,Normal
2903,<18,Children (1-13 years old),Male,Normal
2904,<0.000129,Newborn (0-30 days old),Not Specified,Normal
2905,,,,Normal
2906,0.0550-0.116,Not Specified,Not Specified,Normal
2907,,,,Normal
2908,0.000047 +/- 0.000023,Adult (>18 years old),Both,Normal
2909,0.0153 +/- 0.000639,Infant (0-1 year old),Not Specified,Normal
2910,0.001359,Adult (>18 years old),Both,Normal
2911,0.00006 +/- 0.00003,Adult (>18 years old),Both,Normal
2912,15.0 +/- 2.0,Adult (>18 years old),Male,Normal
2913,18.0 +/- 8.0,Adult (>18 years old),Both,Normal
2914,,,,Normal
2915,0.000037 +/- 0.000012,Adult (>18 years old),Both,Normal
2916,0.0000967 +/- 0.000012,Adult (>18 years old),Both,Normal
2917,0.000172 +/- 0.00013,Adult (>18 years old),Both,Normal
2918,0.00218 +/- 0.00287,Adult (>18 years old),Both,Normal
2919,0.001 +/- 0.000053,Adult (>18 years old),Male,Normal
2920,0.0009 +/- 0.000060,Adult (>18 years old),Female,Normal
2921,,,,Normal
2922,0.0054,Adult (>18 years old),Both,Normal
2923,,,,Normal
2924,0.000130 +/- 0.000059,Adult (>18 years old),Both,Normal
2925,0.1 +/- 0.056,Elderly (>65 years old),Both,Normal
2926,0.185 (0.019-0.482),Adult (>18 years old),Male,Normal
2927,0.037-0.410,Adult (>18 years old),Both,Normal
2928,0.061 (0.044-0.078),Adult (>18 years old),Female,Normal
2929,0.078 +/- 0.054,Adolescent (13-18 years old),Female,Normal
2930,0.075 (0.056-0.097),Adult (>18 years old),Both,Normal
2931,0.48 +/- 0.114,Adult (>18 years old),Both,Normal
2932,9.97 +/- 3.26,Adult (>18 years old),Male,Normal
2933,0.03 +/- 0.04,Adult (>18 years old),Both,Normal
2934,0.09(0.06-0.14),Children (1-13 uears old),Both,Normal
2935,0.15-0.50,Adult (>18 years old),Both,Normal
2936,10.3 +/- 3.78,Adult (>18 years old),Male,Normal
2937,8.47 +/- 2.02,Adult (>18 years old),Female,Normal
2938,0.07 +/- 0.04,Adult (>18 years old),Both,Normal
2939,0.13-0.40,Adult (>18 years old),Both,Normal
2940,,,,Normal
2941,<0.2,Infant (0-1 year old),Not Specified,Normal
2942,2.32 +/- 0.78,Adult (>18 years old),Both,Normal
2943,2.36 +/- 0.11,Adult (>18 years old),Both,Normal
2944,12.636 +/- 5.744,Adult (>18 years old),Both,Normal
2945,,Adult (>18 years old),Both,Normal
2946,,,,Normal
2947,56.0 +/- 7.0,Adult (>18 years old),Male,Normal
2948,0.007 +/- 0.002,Adult (>18 years old),Female,Normal
2949,530.0 +/- 800.0,Newborn (0-30 days old),Both,Normal
2950,0.0094 +/- 0.005 ,Elderly (>65 years old),Both,Normal
2951,0.00940(0.00705-0.01461),,Both,Normal
2952,0.00766(0.00684-0.00889),Adult (>18 years old),Both,Normal
2953,0.006 (0.0029 - 0.012),Adult (>18 years old),Both,Normal
2954,0.0029 - 0.0120,Adult (>18 years old),Both,Normal
2955,444.61(116.67),Adult (>18 years old),Both,Normal
2956,448.89(115.71),Adult (>18 years old),Both,Normal
2957,11.0 +/- 1.2,Adult (>18 years old),Both,Normal
2958,7.26 +/- 0.481,Adult (>18 years old),Both,Normal
2959,0.0055 +/- 0.0003,Adult (>18 years old),Male,Normal
2960,11900.0 (10100.0-14300.0),Adult (>18 years old),Both,Normal
2961,2030.0(1390.0-2600.0),Newborn (0-30 days old),Both,Normal
2962,1640.0 (1280.0-2000.0),Children (1-13 years old),Both,Normal
2963,1540.0 (1050.0-2050.0),Adolescent (13-18 years old),Both,Normal
2964,1035.0 (710.0-1360.0),Adult (>18 years old),Male,Normal
2965,1065.0 (770.0-1360.0),Adult (>18 years old),Female,Normal
2966,800.0-1500.0,Adult (>18 years old),Female,Normal
2967,800.0-1500.0,Adult (>18 years old),Male,Normal
2968,1.17-3.18,Adult (>18 years old),Both,Normal
2969,,,,Normal
2970,0.0070 - 0.0190,Adult (>18 years old),Both,Normal
2971,0.18858(0.18020-0.19659),,Both,Normal
2972,0.17292(0.16382-0.18202),Adult (>18 years old),Both,Normal
2973,0.012 +/- 0.0044,Elderly (>65 years old),Both,Normal
2974,<0.320,Children (1-13 years old),Not Specified,Normal
2975,0.0730-0.325,Children (1-13 years old),Not Specified,Normal
2976,0.01 (0.007 - 0.019),Adult (>18 years old),Both,Normal
2977,,,,Consuming polyphenols described by Phenol-Explorer entry 572
2978,,,,Consuming polyphenols described by Phenol-Explorer entry 572
2979,,,,Consuming polyphenols described by Phenol-Explorer entry 572
2980,,,,Consuming polyphenols described by Phenol-Explorer entry 572
2981,,,,Consuming polyphenols described by Phenol-Explorer entry 572
2982,0.019 +/- 0.009,Adult (>18 years old),Both,Normal
2983,0.01 +/- 0.005,Adult (>18 years old),Male,Normal
2984,0.008 +/- 0.004,Adult (>18 years old),Male,Normal
2985,0.016 +/- 0.006,Adult (>18 years old),Male,Normal
2986,0.015 +/- 0.005,Adult (>18 years old),Male,Normal
2987,0.003 +/- 0.001,Adult (>18 years old),Male,Normal
2988,0.003 +/- 0.001,Adult (>18 years old),Male,Normal
2989,0.003 +/- 0.001,Adult (>18 years old),Male,Normal
2990,0.014 +/- 0.012,Adult (>18 years old),Male,Normal
2991,160.0 +/- 14.0,Adult (>18 years old),Male,Normal
2992,6.90-38.0,Adult (>18 years old),Both,Normal
2993,1364 +/- 106,Adult (>18 years old),Female,Normal
2994,22.3 (18.6-25.8),Newborn (0-30 days old),,Normal
2995,298.0 +/- 24.0,Adult (>18 years old),Both,Normal
2996,16.2 +/- 0.4,Adult (>18 years old),Both,Normal
2997,25.1 (21-30.9),Infant (0-1 year old),,Normal
2998,1145 +/- 67,Adult (>18 years old),Female,Normal
2999,0.95-2.10,Adult (>18 years old),Male,Normal
