,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
2355,0.036 +/- 0.012,Children (1-13 years old),Both,Obesity,with substantial overweight reduction,hmdb_metabolites-663
2356,0.040 +/- 0.013,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-663
2357,0.0016 (0.0010-0.0039),Adult (>18 years old),Both,Rheumatoid arthritis,None,hmdb_metabolites-665
2358,14.1 +/- 10.6,Adult (>18 years old),Both,Short bowel syndrome,None,hmdb_metabolites-666
2359,0.68-12.7,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None,hmdb_metabolites-671
2360,4.7 (4.2) ,Adult (>18 years old),Female,Down syndrome pregnancy,None,hmdb_metabolites-675
2361,6.1 (5.3) ,Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-675
2362,16.5 +/- 22.5,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-675
2363,5.9 (4.1) ,Adult (>18 years old),Female,Early preeclampsia,None,hmdb_metabolites-675
2364,38.4 (98.8) ,Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-675
2365,8000.0 (7000.0-18000.0),Infant (0-1 year old),Both,Isopropyl alcohol poisoning,"Fatal level
",hmdb_metabolites-675
2366,536.0 (66.0-1648.0),Adult (>18 years old),Both,Alcohol intoxication,"Fatal level
",hmdb_metabolites-675
2367,10.7 (4.6) ,Adult (>18 years old),Female,Late-onset preeclampsia,"Fatal level
",hmdb_metabolites-675
2368,7.7 (4.8) ,Adult (>18 years old),Female,Pregnancy,"Fatal level
",hmdb_metabolites-675
2369,331.0 +/- 74.0,Newborn (0-30 days old),Both,Preterm birth,None,hmdb_metabolites-677
2370,0.0016 (0.00090-0.0038),Adult (>18 years old),Both,Nephrotic syndrome,None,hmdb_metabolites-681
2371,0.0022 (0.0015-0.0280),Adult (>18 years old),Both,Hemodialysis,None,hmdb_metabolites-681
2372,0.0024 (0.0015-0.0032),Adult (>18 years old),Both,Kidney disease,"End stage renal failure
",hmdb_metabolites-681
2373,0.0028 (0.0016-0.0120),Adult (>18 years old),Both,Continuous ambulatory peritoneal dialysis (CAPD),"n=10 (5 males, 5 females), median age 57 years (range of 41-62 years), 3 patients with evidence of peripheral vascular disease, 2 with insulin dependent diabetes (1 with retinopathy), 2 with hypertension (both taking nifedipine), all patients were taking ranitidine, alfacalcidol, and vitamin supplements. One patient had pruritus.
",hmdb_metabolites-681
2374,0.088-3.4,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None,hmdb_metabolites-683
2375,,Adult (>18 years old),Both,Pancreatic ductal adenocarcinoma,RP-LC/MS,hmdb_metabolites-685
2376,,Adult (>18 years old),Both,Colorectal adenoma ,With coffee consumption,hmdb_metabolites-686
2377,0.0052,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1,hmdb_metabolites-687
2378,0.0037 +/- 0.0016,Adult (>18 years old),Both,Anephrism,n=1,hmdb_metabolites-687
2379,0.0056 +/- 0.0023,Adult (>18 years old),Both,Psychiatric disorder,"Psychiatric patients with alcoholism, major depression, or both (n= 34)",hmdb_metabolites-690
2380,0.17 +/- 0.06,Adult (>18 years old),Both,Hemodialysis,None,hmdb_metabolites-691
2381,3.0 (2.0 - 4.0),Children (1-13 years old),Not Specified,Kynureninase deficiency,None,hmdb_metabolites-691
2382,,Adult (>18 years old),Both,Oesophageal cancer,By NMR and LC-MS ,hmdb_metabolites-692
2383,117.1 (33.4) ,Adult (>18 years old),Female,Down syndrome pregnancy,By NMR and LC-MS ,hmdb_metabolites-692
2384,114.8 (34.9) ,Adult (>18 years old),Female,Pregnancy,By NMR and LC-MS ,hmdb_metabolites-692
2385,844,Children (1-13 years old),Female,Maple syrup urine disease,n=1. While patient was in coma.,hmdb_metabolites-692
2386,247.7 +/- 72.7,Children (1-13 years old),Both,Obesity,with substantial overweight reduction. p=0.044 (vs. the group without substantial weight loss),hmdb_metabolites-692
2387,278.1 +/- 62.4,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-692
2388,144.2 +/- 61.4,Adult (>18 years old),Both,Heart Transplant,without substantial overweight reduction,hmdb_metabolites-692
2389,81.0 - 122.0,Newborn (0-30 days old),Both,Phenylketonuria,without substantial overweight reduction,hmdb_metabolites-692
2390,193.0 (184.0-201.0),Adult (>18 years old),Both,Epilepsy," Acute seizures
",hmdb_metabolites-692
2391,202.0 (194.0-209.0),Adult (>18 years old),Both,Epilepsy," Refractory localization-related epilepsy (RLE)
",hmdb_metabolites-692
2392,356.0 - 541.0,Newborn (0-30 days old),Both,Maple syrup urine disease (MSUD)," Refractory localization-related epilepsy (RLE)
",hmdb_metabolites-692
2393,121.9 +/- 44.00 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2394,119.6 +/- 38.1 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2395,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2396,119.1 (29.5) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2397,129.8 (51.1) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2398,,Adult (>18 years old),Both,oesophago-gastric cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2399,657.298,Infant (0-1 year old),Male,Dihydrolipoamide Dehydrogenase Deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2400,44-89,Adolescent (13-18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2401,128 (32-155),Children (1-13 years old),Male,Lipoyltransferase 1 Deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2402,57-86,Adult (>18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2403,32-147.300,Children (1-13 years old),Both,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2404,273 +/- 45,Adult (>18 years old),Male,Schizophrenia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-692
2405,,Adult (>18 years old),Both,Colorectal cancer,By ESI-MS/MS ,hmdb_metabolites-692
2406,232 +/- 44,Adult (>18 years old),Female,Schizophrenia,By ESI-MS/MS ,hmdb_metabolites-692
2407,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly decreased vs control.,hmdb_metabolites-692
2408,1495-1675,Children (1 - 13 years old),Both,Hypervalinemia,By NMR. Significantly decreased vs control.,hmdb_metabolites-692
2409,197.7 +/- 184.2,Children (1 - 13 years old),Not Specified,Maple syrup urine disease,Patients treated with a natural protein restricted diet with low BCAA and supplemented with a semi-synthetic formula of essential amino acids containing small amounts of vitamins and minerals,hmdb_metabolites-692
2410,146.4(125.0-176.6),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247. p=0.002 (vs no environmental enteric dysfunction group),hmdb_metabolites-692
2411,142.5 (50.6) ,Adult (>18 years old),Female,Late-onset preeclampsia,n=247. p=0.002 (vs no environmental enteric dysfunction group),hmdb_metabolites-692
2412,121.6 (43.3) ,Adult (>18 years old),Female,Pregnancy,n=247. p=0.002 (vs no environmental enteric dysfunction group),hmdb_metabolites-692
2413,58.26 +/- 14.74,Elderly (>65 years old),Both,Alzheimer's disease,n=247. p=0.002 (vs no environmental enteric dysfunction group),hmdb_metabolites-692
2414,857.0 +/- 14.0,Adult (>18 years old),Both,Hypercholesterolemia,None,hmdb_metabolites-694
2415,0.79-4.8,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None,hmdb_metabolites-696
2416,0.22-17.8,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None,hmdb_metabolites-700
2417,,Adult (>18 years old),Both,Hepatocellular carcinoma ,By LC-MS/MS ,hmdb_metabolites-703
2418,,Adult (>18 years old),Both,Liver Cirrhosis,By LC-MS/MS ,hmdb_metabolites-703
2419,0.00078 (0.00055-0.00100),Adult (>18 years old),Both,Dermal fibroproliferative disorder (hypertrophic scarring),None,hmdb_metabolites-705
2420,0.0032 (0.0017-0.0047),Adult (>18 years old),Male,Anephrism,None,hmdb_metabolites-707
2421,0.0036,Infant (0-1 year old),Female,Nicotinamide Adenine Dinucleotide Deficiency,None,hmdb_metabolites-709
2422,29.1 (25.0-33.2),Adult (>18 years old),Both,Pellagra,None,hmdb_metabolites-709
2423,0.023 +/- 0.009,Adult (>18 years old),Both,Anorexia nervosa,None,hmdb_metabolites-710
2424,15,Children (1-13 years old),Male,Pearson Syndrome,None,hmdb_metabolites-711
2425,2,Infant (0-1 year old),Female,Pearson Syndrome,None,hmdb_metabolites-711
2426,284,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL),None,hmdb_metabolites-711
2427,27.5 (10.0-45.0),Adult (>18 years old),Both,Argininosuccinic aciduria,None,hmdb_metabolites-711
2428,200.0 (100.0-300.0),Children (1-13 years old),Both,Argininosuccinic aciduria (ASL),None,hmdb_metabolites-711
2429,13.0 (6.0-20.0),Adult (>18 years old),Both,Permanent intestinal failure,None,hmdb_metabolites-711
2430,25.4 (23.4-27.4),Adult (>18 years old),Both,Acute seizures,None,hmdb_metabolites-711
2431,26.8 (25.4-28.2),Adult (>18 years old),Both,Epilepsy," Refractory localization-related epilepsy (RLE)
",hmdb_metabolites-711
2432,26.9 (25.2-28.6),Children (1-13 years old),Both,Epilepsy," Juvenile myoclonic epilepsy (JME)
",hmdb_metabolites-711
2433,13,Newborn (0-30 days old),Male,Narp Syndrome,Post mortem measurement,hmdb_metabolites-711
2434,3-5,Children (1-13 years old),Male,Narp Syndrome,Post mortem measurement,hmdb_metabolites-711
2435,0-19,Infant (0-1 year old),Both,Narp Syndrome,Post mortem measurement,hmdb_metabolites-711
2436,86-1542,Adult (>18 years old),Both,"Citrullinemia type II, adult-onset",Post mortem measurement,hmdb_metabolites-711
2437,6-21,Children (1-13 years old),Both,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",Post mortem measurement,hmdb_metabolites-711
2438,5,Newborn (0-30 days old),Male,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",Post mortem measurement,hmdb_metabolites-711
2439,20.3(16.1-26.6),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247,hmdb_metabolites-711
2440,181,Infant (0-1 year old),Male,Fumaric aciduria,n=247,hmdb_metabolites-711
2441,0-7,Newborn (0-30 days old),Male,N-Acetylglutamate synthetase deficiency,n=247,hmdb_metabolites-711
2442,13-23,Infant (0-1 year old),Male,N-Acetylglutamate synthetase deficiency,With Carbamylglutamate treatment.,hmdb_metabolites-711
2443,152-2752,Children (1 - 13 years old),Both,Citrullinemia Type I,With Carbamylglutamate treatment.,hmdb_metabolites-711
2444,94.97 +/- 11.18,Elderly (>65 years old),Both,Alzheimer's disease,With Carbamylglutamate treatment.,hmdb_metabolites-711
2445,28(0-275),Children (1-13 years old),Female,Pearson Syndrome,Age is 9-23 months old,hmdb_metabolites-711
2446,286-485,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Age is 9-23 months old,hmdb_metabolites-711
2447,6 +/- 5,Children (1-13 years old),Both,"Cutis laxa, autosomal recessive, type IIIA",Age is 9-23 months old,hmdb_metabolites-711
2448,1.38 +/- 0.48,Adult (>18 years old),Both,uremia,None,hmdb_metabolites-713
2449,13.3 (2.0) ,Adult (>18 years old),Female,Early preeclampsia,None,hmdb_metabolites-713
2450,11.2 (3.1),Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-713
2451,1.5 +/- 0.5,Adult (>18 years old),Both,Kidney disease,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-713
2452,32.36(6.19),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-713
2453,34.06(8.59),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-713
2454,6.03 (2.0) ,Adult (>18 years old),Female,Late-onset preeclampsia,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-713
2455,7.6 (3.3) ,Adult (>18 years old),Female,Pregnancy,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-713
2456,9.0 +/- 2.5,Adult (>18 years old),Both,Cerebrotendinous xanthomatosis (CTX),None,hmdb_metabolites-715
2457,30.6 +/- 1.4,Adult (>18 years old),Female,Cirrhosis ,None,hmdb_metabolites-715
2458,60.720-122.726,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1,hmdb_metabolites-715
2459,7.1 +/- 5.2,Infant (0-1 year old),Both,Severe psychomotor delay and autism,None,hmdb_metabolites-718
2460,2.2 (0.2-11.7),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis after ursodeoxycholic acid treatment,hmdb_metabolites-721
2461,99.72 +/- 31.82,Adult (>18 years old),Both,uremia,None,hmdb_metabolites-726
2462,,Adult (>18 years old),Both,Colorectal cancer,None,hmdb_metabolites-726
2463,99.9 +/- 31.9,Adult (>18 years old),Both,Kidney disease,"Patients with end-stage renal disease (ESRD)
",hmdb_metabolites-726
2464,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly decreased vs control.,hmdb_metabolites-726
2465,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS,hmdb_metabolites-729
2466,63.6,Infant (0-1 year old),Female,Nicotinamide Adenine Dinucleotide Deficiency,Detected by GC-MS,hmdb_metabolites-729
2467,,Adult (>18 years old),Female,Ovarian cancer,By UPLC-MS ,hmdb_metabolites-729
2468,83.3 +/- 26.0,Adult (>18 years old),Male,Schizophrenia,By UPLC-MS ,hmdb_metabolites-729
2469,80.2 +/- 22.0,Adult (>18 years old),Female,Schizophrenia,By UPLC-MS ,hmdb_metabolites-729
2470,,Adult (>18 years old),Both,Oesophageal cancer,By NMR and LC-MS ,hmdb_metabolites-729
2471,76.2 +/- 15.4,Children (1-13 years old),Both,Obesity,with substantial overweight reduction. p=0.021 (vs. the group without substantial weight loss),hmdb_metabolites-729
2472,84.6 +/- 16.7,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-729
2473,31.6 (29.6-33.6),Adult (>18 years old),Both,Epilepsy," Acute seizures
",hmdb_metabolites-729
2474,37.2 (34.3-40.1),Adult (>18 years old),Both,Epilepsy," Juvenile myoclonic epilepsy (JME)
",hmdb_metabolites-729
2475,53.3 (50.3-56.3),Adult (>18 years old),Both,Epilepsy," Refractory localization-related epilepsy (RLE)
",hmdb_metabolites-729
2476,101 +/- 4.48,Adult (>18 years old),Both,Schizophrenia,Detected by HPLC,hmdb_metabolites-729
2477,,Adult (>18 years old),Both,Colorectal cancer,Detected by HPLC,hmdb_metabolites-729
2478,,Adult (>18 years old),Both,Colorectal cancer,By GC-MS and UPLC-MS,hmdb_metabolites-729
2479,63.51 +/-  2.04,Adult (>18 years old),Both,Schizophrenia,Detected by HPLC,hmdb_metabolites-729
2480,33.06 +/- 8.99,Adult (>18 years old),Both,Alzheimer's disease,Detected by HPLC,hmdb_metabolites-729
2481,36.7(25.2-50.8),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247,hmdb_metabolites-729
2482,0,Adult (>18 years old),Male,"Protoporphyria, Erythropoietic",None,hmdb_metabolites-735
2483,46.8 +/- 1.2,Adult (>18 years old),Both,Phytosterolemia,None,hmdb_metabolites-736
2484,0.016 (0.009-0.025),Adult (>18 years old),Both,Neurodegenerative diseases,None,hmdb_metabolites-737
2485,0.49 +/- 0.05,Elderly (>65 years old),Both,Parkinson's Disease,None,hmdb_metabolites-737
2486,0.102,Adolescent (13-18 years old),Female,Adenosine kinase deficiency,n=1,hmdb_metabolites-737
2487,0.122,Adult (>18 years old),Male,Adenosine kinase deficiency,n=1,hmdb_metabolites-737
2488,,Adult (>18 years old),Both,Colorectal cancer,None,hmdb_metabolites-741
2489,,Adult (>18 years old),Both,gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer,hmdb_metabolites-741
2490,,Adult (>18 years old),Both,superficial gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer,hmdb_metabolites-741
2491,1.7 (0.7-3.0),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis before ursodeoxycholic acid treatment,hmdb_metabolites-743
2492,24.5 (2.3-51.3),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis after  ursodeoxycholic acid treatment,hmdb_metabolites-743
2493,0.48 +/- 0.16,Adult (>18 years old),Both,Cystic fibrosis,"Cystic fibrosis associated with liver disease (CFLD)
",hmdb_metabolites-743
2494,0.61 +/- 0.27,Children (1-13 years old),Both,Cystic fibrosis,"Cystic fibrosis associated with liver disease (CFLD)
",hmdb_metabolites-743
2495,0.4(0.3-1.2),Infant (0-1 year old),Both,Severe acute malnutrition,mean (IQR). n=22,hmdb_metabolites-747
2496,30.4 +/- 20.3,Adult (>18 years old),Both,Aldehyde dehydrogenase deficiency,None,hmdb_metabolites-771
2497,4.1 +/- 1.7,Adult (>18 years old),Both,Alcoholism,"Alcohol dependency
",hmdb_metabolites-771
2498,42.0638-105.0238,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",None,hmdb_metabolites-801
2499,3.63 +/- 2.14,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS),None,hmdb_metabolites-801
2500,,Adult (>18 years old),Both,Lung cancer,"Potential biomarker; By LC-Q-TOF/MS
",hmdb_metabolites-801
2501,3.400-15,Adult (>18 years old),Male,X-linked ichthyosis,"Potential biomarker; By LC-Q-TOF/MS
",hmdb_metabolites-801
2502,,Adult (>18 years old),Female,Schizophrenia,Detected by GC-MS,hmdb_metabolites-801
2503,5.493,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1,hmdb_metabolites-801
2504,6.54 +/- 2.55,Adult (>18 years old),Female,Alzheimer's disease,n=1,hmdb_metabolites-801
