,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
1477,713.817,Infant (0-1 year old),Female,"Fructose-1,6-bisphosphatase deficiency",During episode of lactic acidosis
1478,505.620-678.126,Infant (0-1 year old),Male,Phosphoribosylpyrophosphate Synthetase Superactivity,During episode of lactic acidosis
1479,565.105-690.0232,Children (1-13 years old),Male,Phosphoribosylpyrophosphate Synthetase Superactivity,During episode of lactic acidosis
1480,426.0 +/- 107.4,Adult (>18 years old),Male,Impaired glucose tolerance,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1481,347.5 +/- 105.0,Adult (>18 years old),Female,Impaired glucose tolerance,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1482,0.000420-0.000440,Infant (0-1 year old),Both,congenital disorder of glycosylation CDG-Ia,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1483,493.72 +/- 77.33,Adult (>18 years old),Both,uremia,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1484,95.176,Adult (>18 years old),Female,Fanconi syndrome,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1485,553.208,Adult (>18 years old),Female,Phosphoribosylpyrophosphate Synthetase Superactivity,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1486,1797.90 +/- 895.44,Adult (>18 years old),Both,Canavan disease,"Impaired glucose tolerance according to the World Health Organization (WHO) criteria.
"
1487,,Adult (>18 years old),Both,gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer
1488,,Adult (>18 years old),Both,superficial gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer
1489,476.00 (357.00-714.00),Children (1-13 years old),Both,GOUT,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer
1490,496.429 +/- 264.881,Children (3 months - 6 years old),Not Specified,Uremia,n=7; Original age is 2-59 months old
1491,23,Infant (0-1 year old),Female,Molybdenium co-factor deficiency,n=7; Original age is 2-59 months old
1492,420,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",n=7; Original age is 2-59 months old
1493,600-1000,Children (1-13 years old),Both,Lesch-Nyhan syndrome,n=7; Original age is 2-59 months old
1494,193.89 +/- 49.05,Adult (>18 years old),Both,Multiple sclerosis,n=7; Original age is 2-59 months old
1495,178.9 +/- 107.0,Adult (>18 years old),Both,Cryptococcus meningitis,n=7; Original age is 2-59 months old
1496,612 +/- 36,Adult (>18 years old),Both,Cachexia,n=7; Original age is 2-59 months old
1497,23.794,Children (1-13 years old),Male,Xanthinuria type 1,n=1
1498,35.691,Adult (>18 years old),Female,Xanthinuria type 1,n=1
1499,459,Adult (>18 years old),Male,Lesch-Nyhan syndrome,Under treatment
1500,570,Children (1 - 13 years old),Male,Lesch-Nyhan syndrome,Under treatment
1501,<10,Adult (>18 years old),Male,Xanthinuria type 1,n=1
1502,<59.485,Newborn (0-30 days old),Female,Molybdenum cofactor deficiency,n=1
1503,1-3,Children (1-13 years old),Both,Xanthinuria type 1,n=1
1504,148.712-190.351,Infant (0-1 year old),Both,Sulfite oxidase deficiency,n=1
1505,23.794-178.454,Infant (0-1 year old),Both,Molybdenum cofactor deficiency,n=1
1506,2.2 +/- 0.3,Adult (>18 years old),Both,Lesch-Nyhan syndrome,None
1507,6.8,Adult (>18 years old),Female,Xanthinuria type 1,n=1
1508,12.4,Children (1-13 years old),Male,Xanthinuria type 1,n=1
1509,118,Adult (>18 years old),Male,Lesch-Nyhan syndrome,Under treatment
1510,2.7 +/- 1.6,Adult (>18 years old),Male,Lesch-Nyhan syndrome,p<0.01 vs control
1511,9-14,Children (1-13 years old),Both,Xanthinuria type 1,n=3
1512,1.1,Adult (>18 years old),Female,Phosphoribosylpyrophosphate Synthetase Superactivity,n=3
1513,40,Children (1-13 years old),Male,Xanthinuria type II,n=3
1514,51.2,Adult (>18 years old),Both,Heart Transplant,n=3
1515,6.37 +/- 1.95,Adult (>18 years old),Both,Canavan disease,n=3
1516,9.868 +/- 5.263,Adult (>18 years old),Both,Uremia,n=65
1517,18,Infant (0-1 year old),Female,Molybdenium co-factor deficiency,n=65
1518,,Adult (>18 years old),Female,Breast cancer,By GC-MS 
1519,1998.16-2497.70,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
1520,3500.0 +/- 1500.0,Adult (>18 years old),Both,Cirrhosis,n=1
1521,3309.9 +/- 1844,Adult (>18 years old),Both,Heart Transplant,n=1
1522,4495.856,Infant (0-1 year old),Female,Primary Familial Xanthomatosis With Involvement and Calcification of the Adrenals,n=1
1523,,Adult (>18 years old),Both,Colorectal cancer,n=1
1524,11389.503,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",n=1
1525,7193.37,Infant (0-1 year old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",n=1
1526,4945.442-9524.555,Children (1-13 years old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",n=1
1527,6400,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal",n=1
1528,38333.333 +/- 18333.333,Adult (>18 years old),Both,Uremia,n=16
1529,5000,Adult (>18 years old),Male,Dimethylglycinuria,n=16
1530,7.7 +/- 0.9,Adult (>18 years old),Both,Lesch-Nyhan syndrome,None
1531,4.23 +/- 1.92,Adult (>18 years old),Both,Canavan disease,None
1532,,Adult (>18 years old),Both,Colorectal cancer,None
1533,,Adult (>18 years old),Both,Colorectal cancer,By GC-MS and UPLC-MS
1534,40.164 +/- 46.721,Adult (>18 years old),Both,Uremia,n=22
1535,0.340 +/- 0.221,Adult (>18 years old),Both,Uremia,n=11
1536,2.25 +/- 0.98,Adult (>18 years old),Both,Canavan disease,None
1537,2.250 +/- 1.380,Children (3 months - 6 years old),Not Specified,Uremia,n=7; Original age is 2-59 months old.
1538,,Adult (>18 years old),Both,Bladder cancer,By LC-MS 
1539,2.50 +/- 0.86,Adult (>18 years old),Both,Hemodialysis,By LC-MS 
1540,0.45,Adult (>18 years old),Male,Abetalipoproteinemia,"n=1. Significantly lower than normal, but no p value"
1541,2.0 (1.2-2.5),Adult (>18 years old),Female,Endometrial cancer,"n=1. Significantly lower than normal, but no p value"
1542,1.466 +/- 0.349,Adult (>18 years old),Female,Pregnancy,"n=1. Significantly lower than normal, but no p value"
1543,0.0017 +/- 0.00088,Adult (>18 years old),Both,Cirrhosis,"n=6;
Liver Cirrhosis
"
1544,46.6,Newborn (0-30 days old),Female,Maple syrup urine disease,None
1545,0.002 +/- 0.001,Infant (0-1 year old),Not Specified,Menkes syndrome,None
1546,0.004 +/- 0.002,Newborn (0-30 days old),Both,Menkes syndrome,None
1547,0.030 (0.012-0.057),Children (1-13 years old),Both,Terminal aldosterone biosynthesis defects,None
1548,0.8 (0.2-2.0),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis before ursodeoxycholic acid treatment
1549,0.2 (0.2-0.7),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis after ursodeoxycholic acid treatment
1550,0.000817 (0.0008-0.00084),Adult (>18 years old),Female,Breast cancer,None
1551,38.0 +/- 5.0,Adult (>18 years old),Both,Diabetes ,"Concentration refers to racemic mixture
"
1552,0.00052 (0.00036-0.00076),Adult (>18 years old),Female,Pregnancy,None
1553,0.95-33.5,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None
1554,0.403 - 0.842,Children (1 - 13 years old),Male,Classicle Refsum's disease,None
1555,0.000271,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
1556,0.00123,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
1557,0.0126 +/- 0.0105,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days
1558,0.00440 +/- 0.00280,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old
1559,0.159,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1560,0.741,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1561,0.0264-0.103,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1562,0.0843-1.262,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1563,0.00230 +/- 0.00200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1564,0.00300 +/- 0.00250,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1565,0.00380 +/- 0.00210,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1566,0.00896 +/- 0.00770,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1567,0.0186,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1568,0.0120-0.180,Infant (0-1 year old),Both,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,"n=3. Higher than normal, but no p value."
1569,0.136 +/- 0.129,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, high dose."
1570,0.00439 +/- 0.00896,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, standard dose."
1571,0.176 +/- 0.186,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, high dose."
1572,0.0111 +/- 0.0219,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, standard dose."
1573,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
1574,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
1575,<0.000605,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
1576,0.0832-0.339,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1577,>0.303,Children (1-13 years old),Male,21-hydroxylase deficiency,n=1
1578,>0.605,Newborn (0-30 days old),Male,21-hydroxylase deficiency,n=1
1579,484.17,Adolescent (13-18 years old),Female,21-hydroxylase deficiency,n=1
1580,6.99,Newborn (0-30 days old),Female,21-hydroxylase deficiency,n=1
1581,3873.39-12951.64,Adult (>18 years old),Female,21-hydroxylase deficiency,n=2
1582,1.522,Infant (0-1 year old),Both,"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency (CAH)","n=6. Significantly higher than normal, but no p value"
1583,0.238 (0.0251-0.611),Adult (>18 years old),Both,21-hydroxylase deficiency,"n=6. Significantly higher than normal, but no p value"
1584,0.0388-0.252,Adult (>18 years old),Female,21-hydroxylase deficiency,"n=6. Significantly higher than normal, but no p value"
1585,0.00294 +/- 0.000900,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days
1586,0.00170 +/- 0.00190,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old
1587,0.0057,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1588,0.009,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1589,0.00740-0.296,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
1590,0.00450-0.184,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1591,0.00178 +/- 0.00144,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1592,0.00189 +/- 0.00100,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1593,0.00240 +/- 0.00220,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1594,0.00330 +/- 0.00180,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
1595,0.000908,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1596,<0.000450,Adult (>18 years old),Female,Lipoid Adrenal Hyperplasia,n=1
1597,<0.000450,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia,n=1
1598,<0.000450,Adolescent (13-18 years old),Female,Lipoid Adrenal Hyperplasia,n=1
1599,0.0032,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal",n=1
1600,0.00130-0.0591,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,n=2
1601,0.216-0.265,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency,n=2
1602,0.0147-0.0420,Infant (0-1 year old),Both,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,"n=4. Higher than normal, but no p value."
1603,0.152 (0.0022- 0.302),Adult (>18 years old),Both,Phenylketonuria,"n=4. Higher than normal, but no p value."
1604,0.0014 (0.000030-0.0028),Adult (>18 years old),Both,21-hydroxylase deficiency,"n=4. Higher than normal, but no p value."
1605,0.016 (0.0090-0.024),Children (1-13 years old),Both,21-Hydroxylase Deficiency (CYP21),"n=4. Higher than normal, but no p value."
1606,<0.00300,Newborn (0-30 days old),Not Specified,21-hydroxylase deficiency,"n=4. Higher than normal, but no p value."
1607,>0.300,Newborn (0-30 days old),Not Specified,21-hydroxylase deficiency,"n=4. Higher than normal, but no p value."
1608,0.4 (0.2-1.4),Adult (>18 years old),Both,Fatty Acid Oxidation disorder with supplementation of MCT formula,None
1609,0.90-17.6 uM,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None
1610,0.11 +/- 0.031,Adult (>18 years old),Both,Idiopathic oro-facial pain,None
1611,0.0010 (0.0033-0.0210),Adult (>18 years old),Female,Ovarian cancer,"Advanced ovarian cancer
"
1612,6.9 (4.0) ,Adult (>18 years old),Female,Down syndrome pregnancy,None
1613,4.1 (2.8) ,Adult (>18 years old),Female,Pregnancy,None
1614,1237,Infant (0-1 year old),Female,Maple syrup urine disease,None
1615,0.79-19.2 uM,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None
1616,,Adult (>18 years old),Female,ovarian cancer,None
1617,1.8,Newborn (0-30 days old),Male,Glutaric aciduria I,None
1618,0.0045 +/- 0.0031,Adult (>18 years old),Male,Anephrism,None
1619,,Adult (>18 years old),Both,Colorectal adenoma ,With coffee consumption
1620,0.50 +/- 0.028,Elderly (>65 years old),Both,Alzheimer's disease,None
1621,,Adult (>18 years old),Both,Colorectal cancer,None
1622,24.0 +/- 3.0,Adult (>18 years old),Both,Kidney disease,"Patients with end-stage renal disease (ESRD) on continuous ambulatory peritoneal dialysis (CAPD)
"
1623,19.79 +/- 2.17,Adult (>18 years old),Both,Alzheimer's disease,"Patients with end-stage renal disease (ESRD) on continuous ambulatory peritoneal dialysis (CAPD)
"
1624,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1625,20.5 +/- 6.5,Adult (>18 years old),Both,Chronic Renal Failure,None
1626,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1627,1472.129,Children (1-13 years old),Male,Primary hypomagnesemia,n=1
1628,1534.508,Children (1-13 years old),Male,Primary hypomagnesemia,n=1
1629,1580 +/- 330,Children (1-13 years old),Both,Primary Hypomagnesemia,n=1
1630,2540 (2380-2640),Children (1-13 years old),Both,"Bartter Syndrome, Type 3",In children of 0.4-9.6 years old
1631,2395.329-2869.405,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
1632,798.443-1047.956,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
1633,1637 +/- 282,Adult (>18 years old),Both,Multiple sclerosis,n=1
1634,1683 +/- 249,Adult (>18 years old),Both,Parkinson's disease,n=1
1635,1980,Infant (0-1 year old),Female,Sucrase-isomaltase deficiency,n=1
1636,1290-1860,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency,n=1
1637,1190 +/- 80,Adult (>18 years old),Both,Digeorge Syndrome,n=1
1638,2310,Adolescent (13-18 years old),Male,"Hypomagnesemia 1, intestinal",n=1
1639,2090,Children (1-13 years old),Female,"Hypomagnesemia 1, intestinal",n=1
1640,1200-2290,Infant (0-1 year old),Both,Hypoparathyroidism-retardation-dysmorphism syndrome,n=1
1641,1696.691,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1
1642,1400,Infant (0-1 year old),Female,Pyroglutamic aciduria,n=1
1643,2120.864,Children (1-13 years old),Female,Hyperphosphatasia,n=1
1644,2400(2200-2600),Children (1-13 years old),Not Specified,Oculocerebrorenal Syndrome of Lowe,n=1
1645,1714 +/- 132,Elderly (>65 years old),Both,Alzheimer's disease,n=1
1646,1047.956,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 1, Antenatal",n=1
1647,1090,Adult (>18 years old),Male,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1
1648,88.0 +/- 8.0,Adult (>18 years old),Both,Solid tumors,"Result for one of ten patients with infusion of high-dose thymidine at 75 g/m2/day in patient with advanced-stage
cancer, measured in plasma, ten patients (seven females and three males), with advanced-stage
cancer were entered in the study. The median age was 59 years (range
45-75 years). The following tumor types were included: three head
and neck cancers, two colon cancers, one soft tissue sarcoma, and four melanomas.

"
