,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
8726,CL(a-13:0/i-22:0/a-25:0/i-22:0)[rac],HMDB0074288,,Children (1-13 years old),Both,Barth Syndrome
8727,CL(i-13:0/i-22:0/a-25:0/i-22:0)[rac],HMDB0074289,,Children (1-13 years old),Both,Barth Syndrome
8728,CL(a-13:0/i-22:0/a-25:0/i-24:0)[rac],HMDB0074290,,Children (1-13 years old),Both,Barth Syndrome
8729,CL(i-13:0/i-22:0/a-25:0/i-24:0)[rac],HMDB0074291,,Children (1-13 years old),Both,Barth Syndrome
8730,CL(i-13:0/i-22:0/a-25:0/a-25:0)[rac],HMDB0074292,,Children (1-13 years old),Both,Barth Syndrome
8731,CL(a-13:0/i-22:0/a-25:0/a-25:0)[rac],HMDB0074293,,Children (1-13 years old),Both,Barth Syndrome
8732,CL(i-13:0/i-24:0/i-12:0/i-12:0),HMDB0074294,,Children (1-13 years old),Both,Barth Syndrome
8733,CL(a-13:0/i-24:0/i-12:0/i-12:0)[rac],HMDB0074295,,Children (1-13 years old),Both,Barth Syndrome
8734,CL(i-13:0/i-24:0/i-12:0/i-13:0),HMDB0074296,,Children (1-13 years old),Both,Barth Syndrome
8735,CL(a-13:0/i-24:0/i-12:0/i-13:0)[rac],HMDB0074297,,Children (1-13 years old),Both,Barth Syndrome
8736,CL(i-13:0/i-24:0/i-12:0/a-13:0)[rac],HMDB0074298,,Children (1-13 years old),Both,Barth Syndrome
8737,CL(a-13:0/i-24:0/i-12:0/a-13:0)[rac],HMDB0074299,,Children (1-13 years old),Both,Barth Syndrome
8738,CL(i-13:0/i-24:0/i-12:0/i-14:0),HMDB0074300,,Children (1-13 years old),Both,Barth Syndrome
8739,CL(a-13:0/i-24:0/i-12:0/i-14:0)[rac],HMDB0074301,,Children (1-13 years old),Both,Barth Syndrome
8740,CL(i-13:0/i-24:0/i-12:0/i-15:0),HMDB0074302,,Children (1-13 years old),Both,Barth Syndrome
8741,CL(a-13:0/i-24:0/i-12:0/i-15:0)[rac],HMDB0074303,,Children (1-13 years old),Both,Barth Syndrome
8742,CL(i-13:0/i-24:0/i-12:0/a-15:0)[rac],HMDB0074304,,Children (1-13 years old),Both,Barth Syndrome
8743,CL(a-13:0/i-24:0/i-12:0/a-15:0)[rac],HMDB0074305,,Children (1-13 years old),Both,Barth Syndrome
8744,CL(i-13:0/i-24:0/i-12:0/i-16:0),HMDB0074306,,Children (1-13 years old),Both,Barth Syndrome
8745,CL(a-13:0/i-24:0/i-12:0/i-16:0)[rac],HMDB0074307,,Children (1-13 years old),Both,Barth Syndrome
8746,CL(i-13:0/i-24:0/i-12:0/i-17:0),HMDB0074308,,Children (1-13 years old),Both,Barth Syndrome
8747,CL(a-13:0/i-24:0/i-12:0/i-17:0)[rac],HMDB0074309,,Children (1-13 years old),Both,Barth Syndrome
8748,CL(i-13:0/i-24:0/i-12:0/a-17:0)[rac],HMDB0074310,,Children (1-13 years old),Both,Barth Syndrome
8749,CL(a-13:0/i-24:0/i-12:0/a-17:0)[rac],HMDB0074311,,Children (1-13 years old),Both,Barth Syndrome
8750,"CL(i-13:0/i-24:0/i-12:0/18:2(9Z,11Z))",HMDB0074312,,Children (1-13 years old),Both,Barth Syndrome
8751,CL(i-13:0/i-24:0/i-12:0/i-18:0),HMDB0074313,,Children (1-13 years old),Both,Barth Syndrome
8752,"CL(a-13:0/i-24:0/i-12:0/18:2(9Z,11Z))[rac]",HMDB0074314,,Children (1-13 years old),Both,Barth Syndrome
8753,CL(a-13:0/i-24:0/i-12:0/i-18:0)[rac],HMDB0074315,,Children (1-13 years old),Both,Barth Syndrome
8754,CL(i-13:0/i-24:0/i-12:0/i-19:0),HMDB0074316,,Children (1-13 years old),Both,Barth Syndrome
8755,CL(a-13:0/i-24:0/i-12:0/i-19:0)[rac],HMDB0074317,,Children (1-13 years old),Both,Barth Syndrome
8756,CL(i-13:0/i-24:0/i-12:0/i-20:0),HMDB0074318,,Children (1-13 years old),Both,Barth Syndrome
8757,CL(a-13:0/i-24:0/i-12:0/i-20:0)[rac],HMDB0074319,,Children (1-13 years old),Both,Barth Syndrome
8758,CL(i-13:0/i-24:0/i-12:0/i-21:0),HMDB0074320,,Children (1-13 years old),Both,Barth Syndrome
8759,CL(a-13:0/i-24:0/i-12:0/i-21:0)[rac],HMDB0074321,,Children (1-13 years old),Both,Barth Syndrome
8760,CL(i-13:0/i-24:0/i-12:0/a-21:0)[rac],HMDB0074322,,Children (1-13 years old),Both,Barth Syndrome
8761,CL(a-13:0/i-24:0/i-12:0/a-21:0)[rac],HMDB0074323,,Children (1-13 years old),Both,Barth Syndrome
8762,CL(i-13:0/i-24:0/i-12:0/i-22:0),HMDB0074324,,Children (1-13 years old),Both,Barth Syndrome
8763,CL(a-13:0/i-24:0/i-12:0/i-22:0)[rac],HMDB0074325,,Children (1-13 years old),Both,Barth Syndrome
8764,CL(i-13:0/i-24:0/i-12:0/i-24:0),HMDB0074326,,Children (1-13 years old),Both,Barth Syndrome
8765,CL(a-13:0/i-24:0/i-12:0/i-24:0)[rac],HMDB0074327,,Children (1-13 years old),Both,Barth Syndrome
8766,CL(i-13:0/i-24:0/i-12:0/a-25:0)[rac],HMDB0074328,,Children (1-13 years old),Both,Barth Syndrome
8767,CL(a-13:0/i-24:0/i-12:0/a-25:0)[rac],HMDB0074329,,Children (1-13 years old),Both,Barth Syndrome
8768,CL(i-13:0/i-24:0/i-13:0/i-12:0),HMDB0074330,,Children (1-13 years old),Both,Barth Syndrome
8769,CL(a-13:0/i-24:0/a-13:0/i-12:0)[rac],HMDB0074331,,Children (1-13 years old),Both,Barth Syndrome
8770,CL(i-13:0/i-24:0/a-13:0/i-12:0)[rac],HMDB0074332,,Children (1-13 years old),Both,Barth Syndrome
8771,CL(a-13:0/i-24:0/i-13:0/i-12:0)[rac],HMDB0074333,,Children (1-13 years old),Both,Barth Syndrome
8772,CL(i-13:0/i-24:0/i-13:0/i-13:0),HMDB0074334,,Children (1-13 years old),Both,Barth Syndrome
8773,CL(a-13:0/i-24:0/a-13:0/i-13:0)[rac],HMDB0074335,,Children (1-13 years old),Both,Barth Syndrome
8774,CL(i-13:0/i-24:0/a-13:0/i-13:0)[rac],HMDB0074336,,Children (1-13 years old),Both,Barth Syndrome
8775,CL(a-13:0/i-24:0/i-13:0/i-13:0)[rac],HMDB0074337,,Children (1-13 years old),Both,Barth Syndrome
8776,CL(i-13:0/i-24:0/a-13:0/a-13:0)[rac],HMDB0074338,,Children (1-13 years old),Both,Barth Syndrome
8777,CL(a-13:0/i-24:0/a-13:0/a-13:0)[rac],HMDB0074339,,Children (1-13 years old),Both,Barth Syndrome
8778,CL(i-13:0/i-24:0/i-13:0/a-13:0)[rac],HMDB0074340,,Children (1-13 years old),Both,Barth Syndrome
8779,CL(a-13:0/i-24:0/i-13:0/a-13:0)[rac],HMDB0074341,,Children (1-13 years old),Both,Barth Syndrome
8780,CL(i-13:0/i-24:0/i-13:0/i-14:0),HMDB0074342,,Children (1-13 years old),Both,Barth Syndrome
8781,CL(a-13:0/i-24:0/a-13:0/i-14:0)[rac],HMDB0074343,,Children (1-13 years old),Both,Barth Syndrome
8782,CL(i-13:0/i-24:0/a-13:0/i-14:0)[rac],HMDB0074344,,Children (1-13 years old),Both,Barth Syndrome
8783,CL(a-13:0/i-24:0/i-13:0/i-14:0)[rac],HMDB0074345,,Children (1-13 years old),Both,Barth Syndrome
8784,CL(i-13:0/i-24:0/i-13:0/i-15:0),HMDB0074346,,Children (1-13 years old),Both,Barth Syndrome
8785,CL(a-13:0/i-24:0/a-13:0/i-15:0)[rac],HMDB0074347,,Children (1-13 years old),Both,Barth Syndrome
8786,CL(i-13:0/i-24:0/a-13:0/i-15:0)[rac],HMDB0074348,,Children (1-13 years old),Both,Barth Syndrome
8787,CL(a-13:0/i-24:0/i-13:0/i-15:0)[rac],HMDB0074349,,Children (1-13 years old),Both,Barth Syndrome
8788,CL(i-13:0/i-24:0/a-13:0/a-15:0)[rac],HMDB0074350,,Children (1-13 years old),Both,Barth Syndrome
8789,CL(a-13:0/i-24:0/a-13:0/a-15:0)[rac],HMDB0074351,,Children (1-13 years old),Both,Barth Syndrome
8790,CL(i-13:0/i-24:0/i-13:0/a-15:0)[rac],HMDB0074352,,Children (1-13 years old),Both,Barth Syndrome
8791,CL(a-13:0/i-24:0/i-13:0/a-15:0)[rac],HMDB0074353,,Children (1-13 years old),Both,Barth Syndrome
8792,CL(i-13:0/i-24:0/i-13:0/i-16:0),HMDB0074354,,Children (1-13 years old),Both,Barth Syndrome
8793,CL(a-13:0/i-24:0/a-13:0/i-16:0)[rac],HMDB0074355,,Children (1-13 years old),Both,Barth Syndrome
8794,CL(i-13:0/i-24:0/a-13:0/i-16:0)[rac],HMDB0074356,,Children (1-13 years old),Both,Barth Syndrome
8795,CL(a-13:0/i-24:0/i-13:0/i-16:0)[rac],HMDB0074357,,Children (1-13 years old),Both,Barth Syndrome
8796,CL(i-13:0/i-24:0/i-13:0/i-17:0),HMDB0074358,,Children (1-13 years old),Both,Barth Syndrome
8797,CL(a-13:0/i-24:0/a-13:0/i-17:0)[rac],HMDB0074359,,Children (1-13 years old),Both,Barth Syndrome
8798,CL(i-13:0/i-24:0/a-13:0/i-17:0)[rac],HMDB0074360,,Children (1-13 years old),Both,Barth Syndrome
8799,CL(a-13:0/i-24:0/i-13:0/i-17:0)[rac],HMDB0074361,,Children (1-13 years old),Both,Barth Syndrome
8800,CL(i-13:0/i-24:0/a-13:0/a-17:0)[rac],HMDB0074362,,Children (1-13 years old),Both,Barth Syndrome
8801,CL(a-13:0/i-24:0/a-13:0/a-17:0)[rac],HMDB0074363,,Children (1-13 years old),Both,Barth Syndrome
8802,CL(i-13:0/i-24:0/i-13:0/a-17:0)[rac],HMDB0074364,,Children (1-13 years old),Both,Barth Syndrome
8803,CL(a-13:0/i-24:0/i-13:0/a-17:0)[rac],HMDB0074365,,Children (1-13 years old),Both,Barth Syndrome
8804,"CL(i-13:0/i-24:0/i-13:0/18:2(9Z,11Z))",HMDB0074366,,Children (1-13 years old),Both,Barth Syndrome
8805,CL(i-13:0/i-24:0/i-13:0/i-18:0),HMDB0074367,,Children (1-13 years old),Both,Barth Syndrome
8806,CL(a-13:0/i-24:0/a-13:0/i-18:0)[rac],HMDB0074368,,Children (1-13 years old),Both,Barth Syndrome
8807,CL(i-13:0/i-24:0/a-13:0/i-18:0)[rac],HMDB0074369,,Children (1-13 years old),Both,Barth Syndrome
8808,"CL(a-13:0/i-24:0/i-13:0/18:2(9Z,11Z))[rac]",HMDB0074370,,Children (1-13 years old),Both,Barth Syndrome
8809,"CL(a-13:0/i-24:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0074371,,Children (1-13 years old),Both,Barth Syndrome
8810,"CL(i-13:0/i-24:0/a-13:0/18:2(9Z,11Z))[rac]",HMDB0074372,,Children (1-13 years old),Both,Barth Syndrome
8811,CL(a-13:0/i-24:0/i-13:0/i-18:0)[rac],HMDB0074373,,Children (1-13 years old),Both,Barth Syndrome
8812,CL(i-13:0/i-24:0/i-13:0/i-19:0),HMDB0074374,,Children (1-13 years old),Both,Barth Syndrome
8813,CL(a-13:0/i-24:0/a-13:0/i-19:0)[rac],HMDB0074375,,Children (1-13 years old),Both,Barth Syndrome
8814,CL(i-13:0/i-24:0/a-13:0/i-19:0)[rac],HMDB0074376,,Children (1-13 years old),Both,Barth Syndrome
8815,CL(a-13:0/i-24:0/i-13:0/i-19:0)[rac],HMDB0074377,,Children (1-13 years old),Both,Barth Syndrome
8816,CL(i-13:0/i-24:0/i-13:0/i-20:0),HMDB0074378,,Children (1-13 years old),Both,Barth Syndrome
8817,CL(a-13:0/i-24:0/a-13:0/i-20:0)[rac],HMDB0074379,,Children (1-13 years old),Both,Barth Syndrome
8818,CL(i-13:0/i-24:0/a-13:0/i-20:0)[rac],HMDB0074380,,Children (1-13 years old),Both,Barth Syndrome
8819,CL(a-13:0/i-24:0/i-13:0/i-20:0)[rac],HMDB0074381,,Children (1-13 years old),Both,Barth Syndrome
8820,CL(i-13:0/i-24:0/i-13:0/i-21:0),HMDB0074382,,Children (1-13 years old),Both,Barth Syndrome
8821,CL(a-13:0/i-24:0/a-13:0/i-21:0)[rac],HMDB0074383,,Children (1-13 years old),Both,Barth Syndrome
8822,CL(i-13:0/i-24:0/a-13:0/i-21:0)[rac],HMDB0074384,,Children (1-13 years old),Both,Barth Syndrome
8823,CL(a-13:0/i-24:0/i-13:0/i-21:0)[rac],HMDB0074385,,Children (1-13 years old),Both,Barth Syndrome
8824,CL(i-13:0/i-24:0/a-13:0/a-21:0)[rac],HMDB0074386,,Children (1-13 years old),Both,Barth Syndrome
8825,CL(a-13:0/i-24:0/a-13:0/a-21:0)[rac],HMDB0074387,,Children (1-13 years old),Both,Barth Syndrome
8826,CL(i-13:0/i-24:0/i-13:0/a-21:0)[rac],HMDB0074388,,Children (1-13 years old),Both,Barth Syndrome
8827,CL(a-13:0/i-24:0/i-13:0/a-21:0)[rac],HMDB0074389,,Children (1-13 years old),Both,Barth Syndrome
8828,CL(i-13:0/i-24:0/i-13:0/i-22:0),HMDB0074390,,Children (1-13 years old),Both,Barth Syndrome
8829,CL(a-13:0/i-24:0/a-13:0/i-22:0)[rac],HMDB0074391,,Children (1-13 years old),Both,Barth Syndrome
8830,CL(i-13:0/i-24:0/a-13:0/i-22:0)[rac],HMDB0074392,,Children (1-13 years old),Both,Barth Syndrome
8831,CL(a-13:0/i-24:0/i-13:0/i-22:0)[rac],HMDB0074393,,Children (1-13 years old),Both,Barth Syndrome
8832,CL(i-13:0/i-24:0/i-13:0/i-24:0),HMDB0074394,,Children (1-13 years old),Both,Barth Syndrome
8833,CL(a-13:0/i-24:0/a-13:0/i-24:0)[rac],HMDB0074395,,Children (1-13 years old),Both,Barth Syndrome
8834,CL(i-13:0/i-24:0/a-13:0/i-24:0)[rac],HMDB0074396,,Children (1-13 years old),Both,Barth Syndrome
8835,CL(a-13:0/i-24:0/i-13:0/i-24:0)[rac],HMDB0074397,,Children (1-13 years old),Both,Barth Syndrome
8836,CL(i-13:0/i-24:0/a-13:0/a-25:0)[rac],HMDB0074398,,Children (1-13 years old),Both,Barth Syndrome
8837,CL(a-13:0/i-24:0/a-13:0/a-25:0)[rac],HMDB0074399,,Children (1-13 years old),Both,Barth Syndrome
8838,CL(i-13:0/i-24:0/i-13:0/a-25:0)[rac],HMDB0074400,,Children (1-13 years old),Both,Barth Syndrome
8839,CL(a-13:0/i-24:0/i-13:0/a-25:0)[rac],HMDB0074401,,Children (1-13 years old),Both,Barth Syndrome
8840,CL(i-13:0/i-24:0/i-14:0/i-12:0),HMDB0074402,,Children (1-13 years old),Both,Barth Syndrome
8841,CL(a-13:0/i-24:0/i-14:0/i-12:0)[rac],HMDB0074403,,Children (1-13 years old),Both,Barth Syndrome
8842,CL(i-13:0/i-24:0/i-14:0/i-13:0),HMDB0074404,,Children (1-13 years old),Both,Barth Syndrome
8843,CL(a-13:0/i-24:0/i-14:0/i-13:0)[rac],HMDB0074405,,Children (1-13 years old),Both,Barth Syndrome
8844,CL(i-13:0/i-24:0/i-14:0/a-13:0)[rac],HMDB0074406,,Children (1-13 years old),Both,Barth Syndrome
8845,CL(a-13:0/i-24:0/i-14:0/a-13:0)[rac],HMDB0074407,,Children (1-13 years old),Both,Barth Syndrome
8846,CL(i-13:0/i-24:0/i-14:0/i-14:0),HMDB0074408,,Children (1-13 years old),Both,Barth Syndrome
8847,CL(a-13:0/i-24:0/i-14:0/i-14:0)[rac],HMDB0074409,,Children (1-13 years old),Both,Barth Syndrome
8848,CL(i-13:0/i-24:0/i-14:0/i-15:0),HMDB0074410,,Children (1-13 years old),Both,Barth Syndrome
8849,CL(a-13:0/i-24:0/i-14:0/i-15:0)[rac],HMDB0074411,,Children (1-13 years old),Both,Barth Syndrome
8850,CL(i-13:0/i-24:0/i-14:0/a-15:0)[rac],HMDB0074412,,Children (1-13 years old),Both,Barth Syndrome
8851,CL(a-13:0/i-24:0/i-14:0/a-15:0)[rac],HMDB0074413,,Children (1-13 years old),Both,Barth Syndrome
8852,CL(i-13:0/i-24:0/i-14:0/i-16:0),HMDB0074414,,Children (1-13 years old),Both,Barth Syndrome
8853,CL(a-13:0/i-24:0/i-14:0/i-16:0)[rac],HMDB0074415,,Children (1-13 years old),Both,Barth Syndrome
8854,CL(i-13:0/i-24:0/i-14:0/i-17:0),HMDB0074416,,Children (1-13 years old),Both,Barth Syndrome
8855,CL(a-13:0/i-24:0/i-14:0/i-17:0)[rac],HMDB0074417,,Children (1-13 years old),Both,Barth Syndrome
8856,CL(i-13:0/i-24:0/i-14:0/a-17:0)[rac],HMDB0074418,,Children (1-13 years old),Both,Barth Syndrome
8857,CL(a-13:0/i-24:0/i-14:0/a-17:0)[rac],HMDB0074419,,Children (1-13 years old),Both,Barth Syndrome
8858,"CL(i-13:0/i-24:0/i-14:0/18:2(9Z,11Z))",HMDB0074420,,Children (1-13 years old),Both,Barth Syndrome
8859,CL(i-13:0/i-24:0/i-14:0/i-18:0),HMDB0074421,,Children (1-13 years old),Both,Barth Syndrome
8860,"CL(a-13:0/i-24:0/i-14:0/18:2(9Z,11Z))[rac]",HMDB0074422,,Children (1-13 years old),Both,Barth Syndrome
8861,CL(a-13:0/i-24:0/i-14:0/i-18:0)[rac],HMDB0074423,,Children (1-13 years old),Both,Barth Syndrome
8862,CL(a-13:0/i-24:0/i-14:0/i-19:0)[rac],HMDB0074424,,Children (1-13 years old),Both,Barth Syndrome
8863,CL(i-13:0/i-24:0/i-14:0/i-20:0),HMDB0074425,,Children (1-13 years old),Both,Barth Syndrome
8864,CL(a-13:0/i-24:0/i-14:0/i-20:0)[rac],HMDB0074426,,Children (1-13 years old),Both,Barth Syndrome
8865,CL(i-13:0/i-24:0/i-14:0/i-21:0),HMDB0074427,,Children (1-13 years old),Both,Barth Syndrome
8866,CL(a-13:0/i-24:0/i-14:0/i-21:0)[rac],HMDB0074428,,Children (1-13 years old),Both,Barth Syndrome
8867,CL(i-13:0/i-24:0/i-14:0/a-21:0)[rac],HMDB0074429,,Children (1-13 years old),Both,Barth Syndrome
8868,CL(a-13:0/i-24:0/i-14:0/a-21:0)[rac],HMDB0074430,,Children (1-13 years old),Both,Barth Syndrome
8869,CL(i-13:0/i-24:0/i-14:0/i-22:0),HMDB0074431,,Children (1-13 years old),Both,Barth Syndrome
8870,CL(a-13:0/i-24:0/i-14:0/i-22:0)[rac],HMDB0074432,,Children (1-13 years old),Both,Barth Syndrome
8871,CL(i-13:0/i-24:0/i-14:0/i-24:0),HMDB0074433,,Children (1-13 years old),Both,Barth Syndrome
8872,CL(a-13:0/i-24:0/i-14:0/i-24:0)[rac],HMDB0074434,,Children (1-13 years old),Both,Barth Syndrome
8873,CL(i-13:0/i-24:0/i-14:0/a-25:0)[rac],HMDB0074435,,Children (1-13 years old),Both,Barth Syndrome
8874,CL(a-13:0/i-24:0/i-14:0/a-25:0)[rac],HMDB0074436,,Children (1-13 years old),Both,Barth Syndrome
8875,CL(i-13:0/i-24:0/i-15:0/i-12:0),HMDB0074437,,Children (1-13 years old),Both,Barth Syndrome
8876,CL(a-13:0/i-24:0/a-15:0/i-12:0)[rac],HMDB0074438,,Children (1-13 years old),Both,Barth Syndrome
8877,CL(i-13:0/i-24:0/a-15:0/i-12:0)[rac],HMDB0074439,,Children (1-13 years old),Both,Barth Syndrome
8878,CL(a-13:0/i-24:0/i-15:0/i-12:0)[rac],HMDB0074440,,Children (1-13 years old),Both,Barth Syndrome
8879,CL(i-13:0/i-24:0/i-15:0/i-13:0),HMDB0074441,,Children (1-13 years old),Both,Barth Syndrome
8880,CL(a-13:0/i-24:0/a-15:0/i-13:0)[rac],HMDB0074442,,Children (1-13 years old),Both,Barth Syndrome
8881,CL(i-13:0/i-24:0/a-15:0/i-13:0)[rac],HMDB0074443,,Children (1-13 years old),Both,Barth Syndrome
8882,CL(a-13:0/i-24:0/i-15:0/i-13:0)[rac],HMDB0074444,,Children (1-13 years old),Both,Barth Syndrome
8883,CL(i-13:0/i-24:0/a-15:0/a-13:0)[rac],HMDB0074445,,Children (1-13 years old),Both,Barth Syndrome
8884,CL(a-13:0/i-24:0/a-15:0/a-13:0)[rac],HMDB0074446,,Children (1-13 years old),Both,Barth Syndrome
8885,CL(i-13:0/i-24:0/i-15:0/a-13:0)[rac],HMDB0074447,,Children (1-13 years old),Both,Barth Syndrome
8886,CL(a-13:0/i-24:0/i-15:0/a-13:0)[rac],HMDB0074448,,Children (1-13 years old),Both,Barth Syndrome
8887,CL(i-13:0/i-24:0/i-15:0/i-14:0),HMDB0074449,,Children (1-13 years old),Both,Barth Syndrome
8888,CL(a-13:0/i-24:0/a-15:0/i-14:0)[rac],HMDB0074450,,Children (1-13 years old),Both,Barth Syndrome
8889,CL(i-13:0/i-24:0/a-15:0/i-14:0)[rac],HMDB0074451,,Children (1-13 years old),Both,Barth Syndrome
8890,CL(a-13:0/i-24:0/i-15:0/i-14:0)[rac],HMDB0074452,,Children (1-13 years old),Both,Barth Syndrome
8891,CL(i-13:0/i-24:0/i-15:0/i-15:0),HMDB0074453,,Children (1-13 years old),Both,Barth Syndrome
8892,CL(a-13:0/i-24:0/a-15:0/i-15:0)[rac],HMDB0074454,,Children (1-13 years old),Both,Barth Syndrome
8893,CL(i-13:0/i-24:0/a-15:0/i-15:0)[rac],HMDB0074455,,Children (1-13 years old),Both,Barth Syndrome
8894,CL(a-13:0/i-24:0/i-15:0/i-15:0)[rac],HMDB0074456,,Children (1-13 years old),Both,Barth Syndrome
8895,CL(i-13:0/i-24:0/a-15:0/a-15:0)[rac],HMDB0074457,,Children (1-13 years old),Both,Barth Syndrome
8896,CL(a-13:0/i-24:0/a-15:0/a-15:0)[rac],HMDB0074458,,Children (1-13 years old),Both,Barth Syndrome
8897,CL(i-13:0/i-24:0/i-15:0/a-15:0)[rac],HMDB0074459,,Children (1-13 years old),Both,Barth Syndrome
8898,CL(a-13:0/i-24:0/i-15:0/a-15:0)[rac],HMDB0074460,,Children (1-13 years old),Both,Barth Syndrome
8899,CL(i-13:0/i-24:0/i-15:0/i-16:0),HMDB0074461,,Children (1-13 years old),Both,Barth Syndrome
8900,CL(a-13:0/i-24:0/a-15:0/i-16:0)[rac],HMDB0074462,,Children (1-13 years old),Both,Barth Syndrome
8901,CL(i-13:0/i-24:0/a-15:0/i-16:0)[rac],HMDB0074463,,Children (1-13 years old),Both,Barth Syndrome
8902,CL(a-13:0/i-24:0/i-15:0/i-16:0)[rac],HMDB0074464,,Children (1-13 years old),Both,Barth Syndrome
8903,CL(i-13:0/i-24:0/i-15:0/i-17:0),HMDB0074465,,Children (1-13 years old),Both,Barth Syndrome
8904,CL(a-13:0/i-24:0/a-15:0/i-17:0)[rac],HMDB0074466,,Children (1-13 years old),Both,Barth Syndrome
8905,CL(i-13:0/i-24:0/a-15:0/i-17:0)[rac],HMDB0074467,,Children (1-13 years old),Both,Barth Syndrome
8906,CL(a-13:0/i-24:0/i-15:0/i-17:0)[rac],HMDB0074468,,Children (1-13 years old),Both,Barth Syndrome
8907,CL(i-13:0/i-24:0/a-15:0/a-17:0)[rac],HMDB0074469,,Children (1-13 years old),Both,Barth Syndrome
8908,CL(a-13:0/i-24:0/a-15:0/a-17:0)[rac],HMDB0074470,,Children (1-13 years old),Both,Barth Syndrome
8909,CL(i-13:0/i-24:0/i-15:0/a-17:0)[rac],HMDB0074471,,Children (1-13 years old),Both,Barth Syndrome
8910,CL(a-13:0/i-24:0/i-15:0/a-17:0)[rac],HMDB0074472,,Children (1-13 years old),Both,Barth Syndrome
8911,"CL(i-13:0/i-24:0/i-15:0/18:2(9Z,11Z))",HMDB0074473,,Children (1-13 years old),Both,Barth Syndrome
8912,CL(i-13:0/i-24:0/i-15:0/i-18:0),HMDB0074474,,Children (1-13 years old),Both,Barth Syndrome
8913,CL(a-13:0/i-24:0/a-15:0/i-18:0)[rac],HMDB0074475,,Children (1-13 years old),Both,Barth Syndrome
8914,CL(i-13:0/i-24:0/a-15:0/i-18:0)[rac],HMDB0074476,,Children (1-13 years old),Both,Barth Syndrome
8915,"CL(a-13:0/i-24:0/i-15:0/18:2(9Z,11Z))[rac]",HMDB0074477,,Children (1-13 years old),Both,Barth Syndrome
8916,"CL(a-13:0/i-24:0/a-15:0/18:2(9Z,11Z))[rac]",HMDB0074478,,Children (1-13 years old),Both,Barth Syndrome
8917,"CL(i-13:0/i-24:0/a-15:0/18:2(9Z,11Z))[rac]",HMDB0074479,,Children (1-13 years old),Both,Barth Syndrome
8918,CL(a-13:0/i-24:0/i-15:0/i-18:0)[rac],HMDB0074480,,Children (1-13 years old),Both,Barth Syndrome
8919,CL(i-13:0/i-24:0/i-15:0/i-19:0),HMDB0074481,,Children (1-13 years old),Both,Barth Syndrome
8920,CL(a-13:0/i-24:0/a-15:0/i-19:0)[rac],HMDB0074482,,Children (1-13 years old),Both,Barth Syndrome
8921,CL(i-13:0/i-24:0/a-15:0/i-19:0)[rac],HMDB0074483,,Children (1-13 years old),Both,Barth Syndrome
8922,CL(a-13:0/i-24:0/i-15:0/i-19:0)[rac],HMDB0074484,,Children (1-13 years old),Both,Barth Syndrome
8923,CL(i-13:0/i-24:0/i-15:0/i-20:0),HMDB0074485,,Children (1-13 years old),Both,Barth Syndrome
8924,CL(a-13:0/i-24:0/a-15:0/i-20:0)[rac],HMDB0074486,,Children (1-13 years old),Both,Barth Syndrome
8925,CL(i-13:0/i-24:0/a-15:0/i-20:0)[rac],HMDB0074487,,Children (1-13 years old),Both,Barth Syndrome
8926,CL(a-13:0/i-24:0/i-15:0/i-20:0)[rac],HMDB0074488,,Children (1-13 years old),Both,Barth Syndrome
8927,CL(i-13:0/i-24:0/i-15:0/i-21:0),HMDB0074489,,Children (1-13 years old),Both,Barth Syndrome
8928,CL(a-13:0/i-24:0/a-15:0/i-21:0)[rac],HMDB0074490,,Children (1-13 years old),Both,Barth Syndrome
8929,CL(i-13:0/i-24:0/a-15:0/i-21:0)[rac],HMDB0074491,,Children (1-13 years old),Both,Barth Syndrome
8930,CL(a-13:0/i-24:0/i-15:0/i-21:0)[rac],HMDB0074492,,Children (1-13 years old),Both,Barth Syndrome
8931,CL(i-13:0/i-24:0/a-15:0/a-21:0)[rac],HMDB0074493,,Children (1-13 years old),Both,Barth Syndrome
8932,CL(a-13:0/i-24:0/a-15:0/a-21:0)[rac],HMDB0074494,,Children (1-13 years old),Both,Barth Syndrome
8933,CL(i-13:0/i-24:0/i-15:0/a-21:0)[rac],HMDB0074495,,Children (1-13 years old),Both,Barth Syndrome
8934,CL(a-13:0/i-24:0/i-15:0/a-21:0)[rac],HMDB0074496,,Children (1-13 years old),Both,Barth Syndrome
8935,CL(i-13:0/i-24:0/i-15:0/i-22:0),HMDB0074497,,Children (1-13 years old),Both,Barth Syndrome
8936,CL(a-13:0/i-24:0/a-15:0/i-22:0)[rac],HMDB0074498,,Children (1-13 years old),Both,Barth Syndrome
8937,CL(i-13:0/i-24:0/a-15:0/i-22:0)[rac],HMDB0074499,,Children (1-13 years old),Both,Barth Syndrome
8938,CL(a-13:0/i-24:0/i-15:0/i-22:0)[rac],HMDB0074500,,Children (1-13 years old),Both,Barth Syndrome
8939,CL(i-13:0/i-24:0/i-15:0/i-24:0),HMDB0074501,,Children (1-13 years old),Both,Barth Syndrome
8940,CL(a-13:0/i-24:0/a-15:0/i-24:0)[rac],HMDB0074502,,Children (1-13 years old),Both,Barth Syndrome
8941,CL(i-13:0/i-24:0/a-15:0/i-24:0)[rac],HMDB0074503,,Children (1-13 years old),Both,Barth Syndrome
